"Pollutant";"Concentration";"Glass";"juvenile";"cocoons";"treatment"
"brake_abrasion";0,5;"1";0;0;"brake_abrasion_0.5"
"brake_abrasion";0,5;"2";0;0;"brake_abrasion_0.5"
"brake_abrasion";0,5;"3";0;0;"brake_abrasion_0.5"
"brake_abrasion";0,5;"4";0;0;"brake_abrasion_0.5"
"brake_abrasion";0,5;"5";0;0;"brake_abrasion_0.5"
"brake_abrasion";0,5;"6";0;0;"brake_abrasion_0.5"
"brake_abrasion";0,5;"7";0;0;"brake_abrasion_0.5"
"brake_abrasion";0,5;"8";0;0;"brake_abrasion_0.5"
"brake_abrasion";2;"1";0;0;"brake_abrasion_2"
"brake_abrasion";2;"2";0;0;"brake_abrasion_2"
"brake_abrasion";2;"3";0;0;"brake_abrasion_2"
"brake_abrasion";2;"4";0;0;"brake_abrasion_2"
"brake_abrasion";2;"5";0;0;"brake_abrasion_2"
"brake_abrasion";2;"6";0;0;"brake_abrasion_2"
"brake_abrasion";2;"7";0;0;"brake_abrasion_2"
"brake_abrasion";2;"8";0;0;"brake_abrasion_2"
"control";0;"1";39;42;"control_0"
"control";0;"2";8;30;"control_0"
"control";0;"3";13;37;"control_0"
"control";0;"4";6;41;"control_0"
"control";0;"5";45;39;"control_0"
"control";0;"6";11;34;"control_0"
"control";0;"7";28;52;"control_0"
"control";0;"8";33;44;"control_0"
"exhaust_particles";0,5;"1";0;7;"exhaust_particles_0.5"
"exhaust_particles";0,5;"2";0;21;"exhaust_particles_0.5"
"exhaust_particles";0,5;"3";0;26;"exhaust_particles_0.5"
"exhaust_particles";0,5;"4";0;9;"exhaust_particles_0.5"
"exhaust_particles";0,5;"5";0;22;"exhaust_particles_0.5"
"exhaust_particles";0,5;"6";0;23;"exhaust_particles_0.5"
"exhaust_particles";0,5;"7";0;25;"exhaust_particles_0.5"
"exhaust_particles";0,5;"8";0;24;"exhaust_particles_0.5"
"exhaust_particles";2;"1";0;15;"exhaust_particles_2"
"exhaust_particles";2;"2";0;30;"exhaust_particles_2"
"exhaust_particles";2;"3";0;24;"exhaust_particles_2"
"exhaust_particles";2;"4";0;2;"exhaust_particles_2"
"exhaust_particles";2;"5";0;21;"exhaust_particles_2"
"exhaust_particles";2;"6";2;26;"exhaust_particles_2"
"exhaust_particles";2;"7";0;15;"exhaust_particles_2"
"exhaust_particles";2;"8";0;13;"exhaust_particles_2"
"mix";0,5;"1";0;0;"mix_0.5"
"mix";0,5;"2";0;2;"mix_0.5"
"mix";0,5;"3";0;8;"mix_0.5"
"mix";0,5;"4";0;4;"mix_0.5"
"mix";0,5;"5";0;2;"mix_0.5"
"mix";0,5;"6";0;6;"mix_0.5"
"mix";0,5;"7";0;8;"mix_0.5"
"mix";0,5;"8";1;5;"mix_0.5"
"mix";2;"1";0;0;"mix_2"
"mix";2;"2";1;0;"mix_2"
"mix";2;"3";0;0;"mix_2"
"mix";2;"4";0;0;"mix_2"
"mix";2;"5";0;0;"mix_2"
"mix";2;"6";0;0;"mix_2"
"mix";2;"7";0;0;"mix_2"
"mix";2;"8";0;2;"mix_2"
"mix";8;"1";0;11;"mix_8"
"mix";8;"2";0;0;"mix_8"
"mix";8;"3";0;0;"mix_8"
"mix";8;"4";0;0;"mix_8"
"mix";8;"5";0;0;"mix_8"
"mix";8;"6";0;0;"mix_8"
"mix";8;"7";0;0;"mix_8"
"mix";8;"8";0;0;"mix_8"
"MP_fibers";0,5;"1";0;17;"MP_fibers_0.5"
"MP_fibers";0,5;"2";0;21;"MP_fibers_0.5"
"MP_fibers";0,5;"3";0;12;"MP_fibers_0.5"
"MP_fibers";0,5;"4";0;21;"MP_fibers_0.5"
"MP_fibers";0,5;"5";0;15;"MP_fibers_0.5"
"MP_fibers";0,5;"6";0;16;"MP_fibers_0.5"
"MP_fibers";0,5;"7";3;22;"MP_fibers_0.5"
"MP_fibers";0,5;"8";0;12;"MP_fibers_0.5"
"MP_fibers";2;"1";31;34;"MP_fibers_2"
"MP_fibers";2;"2";50;35;"MP_fibers_2"
"MP_fibers";2;"3";16;38;"MP_fibers_2"
"MP_fibers";2;"4";42;48;"MP_fibers_2"
"MP_fibers";2;"5";26;34;"MP_fibers_2"
"MP_fibers";2;"6";24;35;"MP_fibers_2"
"MP_fibers";2;"7";22;41;"MP_fibers_2"
"MP_fibers";2;"8";16;35;"MP_fibers_2"
"MP_particles";0,5;"1";0;25;"MP_particles_0.5"
"MP_particles";0,5;"2";0;11;"MP_particles_0.5"
"MP_particles";0,5;"3";0;21;"MP_particles_0.5"
"MP_particles";0,5;"4";0;25;"MP_particles_0.5"
"MP_particles";0,5;"5";0;8;"MP_particles_0.5"
"MP_particles";0,5;"6";0;25;"MP_particles_0.5"
"MP_particles";0,5;"7";0;19;"MP_particles_0.5"
"MP_particles";0,5;"8";0;22;"MP_particles_0.5"
"MP_particles";2;"1";20;40;"MP_particles_2"
"MP_particles";2;"2";15;42;"MP_particles_2"
"MP_particles";2;"3";18;41;"MP_particles_2"
"MP_particles";2;"4";25;40;"MP_particles_2"
"MP_particles";2;"5";27;45;"MP_particles_2"
"MP_particles";2;"6";33;36;"MP_particles_2"
"MP_particles";2;"7";44;52;"MP_particles_2"
"MP_particles";2;"8";11;25;"MP_particles_2"
